Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-09,30.5,5.45,5.6,0.3575,0.9922,0.0085,0.0015
2019-02-09,30.5,0.0,0.05,0.406,-0.0163,0.0142,0.0029
2019-02-09,32.5,3.55,3.65,0.3508,0.938,0.0495,0.0086
2019-02-09,32.5,0.09,0.12,0.3889,-0.0816,0.0551,0.0106
2019-02-09,33.5,2.67,2.75,0.3516,0.8631,0.0885,0.0154
2019-02-09,33.5,0.18,0.22,0.3659,-0.1459,0.0887,0.0161
2019-02-09,34.5,1.87,1.94,0.3443,0.7516,0.1305,0.0223
2019-02-09,34.5,0.35,0.39,0.3431,-0.2481,0.1315,0.0221
2019-02-09,35.5,1.17,1.24,0.3272,0.6047,0.167,0.0271
2019-02-09,35.5,0.64,0.7,0.3263,-0.396,0.1688,0.027
2019-02-09,36.0,0.88,0.95,0.3193,0.5187,0.1771,0.0281
2019-02-09,36.0,0.85,0.92,0.3204,-0.4827,0.1782,0.0281
2019-02-09,36.5,0.65,0.69,0.312,0.4289,0.1785,0.0277
2019-02-09,36.5,1.12,1.18,0.3164,-0.5718,0.1779,0.0275
2019-02-09,37.5,0.31,0.35,0.3046,0.2616,0.1516,0.0229
2019-02-09,37.5,1.79,1.84,0.3114,-0.7369,0.1517,0.0233
2019-02-09,38.5,0.13,0.16,0.3018,0.1378,0.1035,0.0155
2019-02-09,38.5,2.6,2.69,0.3195,-0.8527,0.1065,0.0166
2019-02-09,39.5,0.05,0.09,0.3151,0.0725,0.0621,0.0097
2019-02-09,39.5,3.5,3.65,0.3442,-0.914,0.0697,0.0114
2019-02-09,41.5,0.0,0.04,0.3151,0.012,0.014,0.0022
2019-02-09,41.5,5.45,5.6,0.3442,-0.9901,0.0215,0.0022
2019-02-09,30.5,5.25,6.0,0.3959,0.9435,0.0288,0.0113
2019-02-09,30.5,0.05,0.33,0.4164,-0.0652,0.0306,0.0127
2019-02-09,32.5,3.75,4.1,0.4039,0.8384,0.0608,0.0244
2019-02-09,32.5,0.24,0.33,0.3713,-0.1433,0.0614,0.0236
2019-02-09,33.5,2.97,3.15,0.3718,0.7792,0.08,0.0296
2019-02-09,33.5,0.44,0.52,0.3665,-0.2182,0.0812,0.0301
2019-02-09,34.5,2.24,2.45,0.3669,0.6876,0.0968,0.0353
2019-02-09,34.5,0.69,0.9,0.371,-0.3148,0.0967,0.0349
2019-02-09,35.5,1.59,1.79,0.3516,0.5841,0.1113,0.0389
2019-02-09,35.5,1.04,1.28,0.3604,-0.4185,0.1097,0.0389
2019-02-09,36.0,1.32,1.52,0.3486,0.5273,0.1145,0.0397
2019-02-09,36.0,1.26,1.46,0.3501,-0.4746,0.1154,0.0397
2019-02-09,36.5,1.06,1.17,0.3296,0.4665,0.121,0.0396
2019-02-09,36.5,1.52,1.59,0.3307,-0.5359,0.1221,0.0396
2019-02-09,37.5,0.67,0.86,0.3357,0.3551,0.1112,0.0371
2019-02-09,37.5,2.13,2.35,0.3461,-0.6432,0.11,0.0368
2019-02-09,38.5,0.4,0.6,0.338,0.2579,0.0959,0.0322
2019-02-09,38.5,2.85,3.05,0.3419,-0.7445,0.0971,0.0326
2019-02-09,39.5,0.21,0.5,0.3375,0.1774,0.0773,0.0259
2019-02-09,39.5,3.6,3.9,0.3375,-0.8296,0.0792,0.0262
2019-02-09,41.5,0.05,0.12,0.3182,0.0609,0.038,0.012
2019-02-09,41.5,5.3,5.9,0.3443,-0.9329,0.0443,0.0137
2019-02-09,30.5,5.75,6.05,0.3986,0.8912,0.0355,0.0246
2019-02-09,30.5,0.26,0.66,0.3986,-0.1088,0.0357,0.0242
2019-02-09,32.5,4.1,4.35,0.38,0.7966,0.0564,0.0373
2019-02-09,32.5,0.5,0.98,0.4128,-0.2197,0.0547,0.0397
2019-02-09,33.5,3.35,3.55,0.3665,0.7355,0.0677,0.0431
2019-02-09,33.5,0.71,1.01,0.3718,-0.2679,0.0677,0.043
2019-02-09,34.5,2.7,2.91,0.367,0.6591,0.0758,0.0484
2019-02-09,34.5,1.1,1.36,0.3753,-0.3447,0.0752,0.0481
2019-02-09,35.5,2.07,2.32,0.3583,0.5788,0.0828,0.0516
2019-02-09,35.5,1.52,1.59,0.3537,-0.4233,0.085,0.0514
