Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-09,140.0,24.5,25.1,0.5015,0.8532,0.0091,0.1155
2019-02-09,140.0,1.95,2.3,0.5077,-0.1494,0.0092,0.1163
2019-02-09,145.0,20.4,21.1,0.491,0.7991,0.0114,0.1411
2019-02-09,145.0,2.8,3.1,0.4878,-0.1999,0.0115,0.1408
2019-02-09,150.0,16.6,17.1,0.4713,0.7372,0.0138,0.1639
2019-02-09,150.0,4.0,4.2,0.472,-0.2636,0.0139,0.1637
2019-02-09,155.0,13.1,13.6,0.4562,0.6623,0.0159,0.1837
2019-02-09,155.0,5.5,5.7,0.4573,-0.3389,0.016,0.1828
2019-02-09,160.0,10.1,10.5,0.4445,0.5774,0.0175,0.1967
2019-02-09,160.0,7.5,7.7,0.4485,-0.4242,0.0175,0.196
2019-02-09,165.0,7.5,8.0,0.4363,0.4874,0.0182,0.2004
2019-02-09,165.0,9.8,10.3,0.4402,-0.5141,0.0182,0.1996
2019-02-09,170.0,5.4,5.9,0.4285,0.3976,0.0179,0.1938
2019-02-09,170.0,12.8,13.2,0.435,-0.603,0.0179,0.1931
2019-02-09,175.0,3.7,4.1,0.4166,0.3101,0.0169,0.1773
2019-02-09,175.0,16.0,16.6,0.4263,-0.6888,0.0168,0.1791
2019-02-09,180.0,2.5,2.95,0.4154,0.2368,0.0148,0.1551
2019-02-09,180.0,19.6,20.4,0.4183,-0.7668,0.015,0.1586
2019-02-09,185.0,1.6,2.0,0.4098,0.1725,0.0124,0.1284
2019-02-09,185.0,23.9,24.5,0.422,-0.8261,0.0127,0.1344
2019-02-16,145.0,26.3,27.2,0.519,0.8834,0.008,0.0922
2019-02-16,145.0,1.45,1.6,0.5237,-0.1184,0.008,0.0932
2019-02-16,155.0,18.1,19.0,0.497,0.7746,0.0128,0.1412
2019-02-16,155.0,3.3,3.6,0.5093,-0.2302,0.0127,0.1435
2019-02-16,160.0,14.5,15.3,0.4847,0.703,0.0152,0.1628
2019-02-16,160.0,4.2,5.2,0.4896,-0.299,0.0152,0.1632
2019-02-16,165.0,10.9,12.0,0.4624,0.6224,0.0175,0.1787
2019-02-16,165.0,6.3,6.6,0.4784,-0.3808,0.0171,0.1783
2019-02-16,170.0,8.6,9.2,0.4665,0.5315,0.0181,0.1871
2019-02-16,170.0,8.3,9.3,0.4771,-0.4695,0.0179,0.187
2019-02-16,175.0,5.8,6.6,0.4381,0.4352,0.0191,0.1852
2019-02-16,175.0,10.9,11.5,0.4537,-0.5629,0.0187,0.1846
2019-02-16,180.0,4.3,5.1,0.4507,0.3516,0.0175,0.1745
2019-02-16,180.0,13.8,14.7,0.4414,-0.6551,0.018,0.1748
2019-02-16,185.0,2.85,3.3,0.4326,0.2641,0.0161,0.1538
2019-02-16,185.0,17.5,18.2,0.4368,-0.7376,0.0162,0.1582
2019-02-16,195.0,1.15,1.85,0.4415,0.1476,0.0111,0.1085
2019-02-16,195.0,25.4,26.5,0.4137,-0.8765,0.0112,0.1009
2019-02-23,135.0,26.0,27.6,0.3792,0.9789,0.0034,0.0196
2019-02-23,135.0,0.0,0.25,0.3589,-0.0161,0.0029,0.0156
2019-02-23,145.0,16.4,17.9,0.3311,0.9213,0.0115,0.0568
2019-02-23,145.0,0.3,0.45,0.3135,-0.0682,0.0109,0.0509
2019-02-23,150.0,11.9,13.0,0.2893,0.8684,0.0191,0.0825
2019-02-23,150.0,0.85,1.0,0.3082,-0.1457,0.0193,0.0928
2019-02-23,155.0,8.3,8.6,0.2846,0.7438,0.0292,0.1245
2019-02-23,155.0,1.7,1.9,0.2877,-0.2588,0.0293,0.1284
2019-02-23,160.0,5.0,5.3,0.2766,0.5765,0.0366,0.1515
2019-02-23,160.0,3.3,3.6,0.2756,-0.4251,0.0371,0.1514
2019-02-23,165.0,2.55,2.85,0.2655,0.3877,0.0373,0.1482
2019-02-23,165.0,5.8,6.2,0.2642,-0.6166,0.038,0.1473
2019-02-23,170.0,1.1,1.35,0.2594,0.2194,0.0295,0.1144
2019-02-23,170.0,9.3,10.1,0.2719,-0.7749,0.0295,0.1194
2019-02-23,175.0,0.4,0.6,0.2587,0.1068,0.0184,0.0712
2019-02-23,175.0,13.6,14.5,0.2848,-0.8775,0.0198,0.081
2019-02-23,180.0,0.1,0.25,0.2587,0.0447,0.0094,0.0365
2019-02-23,180.0,17.6,20.0,0.2848,-0.949,0.0117,0.0431
2019-02-23,185.0,0.0,0.15,0.2587,0.0162,0.004,0.0156
2019-02-23,185.0,22.7,25.1,0.2848,-0.9882,0.0063,0.0137
2019-03-02,135.0,25.1,27.0,0.3394,0.9962,0.0011,0.0036
2019-03-02,135.0,0.05,0.25,0.3034,-0.0015,0.0005,0.0015
2019-03-02,145.0,15.4,17.0,0.3394,0.9441,0.0106,0.0354
2019-03-02,145.0,0.15,0.3,0.3034,-0.0383,0.0087,0.0261
2019-03-02,150.0,10.9,12.2,0.3394,0.8597,0.0209,0.07
2019-03-02,150.0,0.45,0.65,0.3034,-0.1151,0.0205,0.0612
2019-03-02,155.0,6.4,7.4,0.2625,0.7699,0.0369,0.0954
2019-03-02,155.0,1.2,1.4,0.2794,-0.2434,0.0359,0.0986
2019-03-02,160.0,3.6,3.9,0.268,0.5471,0.0471,0.1244
2019-03-02,160.0,2.8,3.1,0.265,-0.4541,0.0481,0.1247
2019-03-02,165.0,1.4,1.75,0.2569,0.3116,0.0438,0.111
