Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-09,70.0,9.35,10.1,0.3255,0.9811,0.0091,0.0072
2019-02-09,70.0,0.03,0.07,0.3178,-0.0167,0.0084,0.0065
2019-02-09,71.5,8.05,8.6,0.3255,0.9595,0.0171,0.0136
2019-02-09,71.5,0.06,0.09,0.3178,-0.0371,0.0163,0.0126
2019-02-09,74.0,5.4,6.1,0.1625,0.991,0.0096,0.0038
2019-02-09,74.0,0.14,0.17,0.275,-0.0783,0.0341,0.0228
2019-02-09,76.5,3.5,3.7,0.2343,0.8236,0.0709,0.0404
2019-02-09,76.5,0.36,0.4,0.24,-0.1821,0.071,0.0418
2019-02-09,78.0,2.39,2.48,0.226,0.6995,0.0987,0.0543
2019-02-09,78.0,0.66,0.72,0.2257,-0.3012,0.0996,0.0551
2019-02-09,79.5,1.4,1.49,0.2121,0.5381,0.1201,0.0619
2019-02-09,79.5,1.18,1.25,0.214,-0.4642,0.1203,0.062
2019-02-09,81.5,0.56,0.63,0.2043,0.3004,0.1092,0.0543
2019-02-09,81.5,2.31,2.42,0.2057,-0.7032,0.1106,0.0544
2019-02-09,83.0,0.24,0.29,0.2027,0.1617,0.0775,0.0382
2019-02-09,83.0,3.45,3.65,0.2069,-0.8409,0.0797,0.0391
2019-02-09,85.0,0.07,0.09,0.2057,0.059,0.0366,0.0183
2019-02-09,85.0,5.25,5.55,0.2254,-0.9328,0.0432,0.0209
2019-02-09,87.5,0.0,0.04,0.2146,0.0144,0.0109,0.0057
2019-02-09,87.5,7.6,8.35,0.2218,-0.9981,0.0089,0.0018
2019-02-09,91.5,0.0,0.03,0.2146,0.0006,0.0006,0.0003
2019-02-09,91.5,11.6,12.1,0.2218,-1.0,0.0,0.0
2019-02-09,70.0,9.0,10.55,0.3152,0.9393,0.0173,0.0265
2019-02-09,70.0,0.15,0.33,0.3152,-0.0607,0.0173,0.0265
2019-02-09,71.5,7.7,8.9,0.3152,0.9042,0.0245,0.0375
2019-02-09,71.5,0.21,0.46,0.3152,-0.0958,0.0245,0.0371
2019-02-09,74.0,5.9,6.4,0.2429,0.8771,0.038,0.0449
2019-02-09,74.0,0.39,0.54,0.2697,-0.1465,0.0388,0.0526
2019-02-09,76.5,4.1,4.6,0.2696,0.7282,0.0558,0.0732
2019-02-09,76.5,0.8,1.14,0.2606,-0.2668,0.0576,0.0731
2019-02-09,78.0,3.0,3.2,0.237,0.65,0.0708,0.0817
2019-02-09,78.0,1.26,1.45,0.2457,-0.3559,0.0695,0.0819
2019-02-09,80.0,1.84,2.04,0.2299,0.4991,0.0786,0.088
2019-02-09,80.0,2.07,2.34,0.2388,-0.5033,0.0769,0.0881
2019-02-09,81.5,1.17,1.46,0.2297,0.3842,0.0754,0.0843
2019-02-09,81.5,2.9,3.2,0.235,-0.6177,0.0753,0.0841
2019-02-09,83.0,0.7,0.81,0.2164,0.2673,0.0689,0.0726
2019-02-09,83.0,3.85,4.3,0.2332,-0.7232,0.0675,0.0731
2019-02-09,85.0,0.31,0.48,0.2203,0.1589,0.0498,0.0534
2019-02-09,85.0,5.2,6.15,0.2337,-0.8364,0.0517,0.0566
2019-02-09,87.5,0.11,0.24,0.2206,0.0705,0.0277,0.0298
2019-02-09,87.5,7.5,8.95,0.3092,-0.8567,0.0355,0.0521
2019-02-09,91.5,0.0,1.48,0.2244,0.0152,0.0077,0.0084
2019-02-09,91.5,9.85,14.0,0.317,-0.9465,0.0194,0.0249
2019-02-09,72.0,8.15,8.6,0.2533,0.8801,0.0271,0.0583
2019-02-09,72.0,0.57,0.69,0.2812,-0.143,0.0277,0.068
2019-02-09,74.0,6.1,7.1,0.236,0.8258,0.0373,0.075
2019-02-09,74.0,0.86,1.2,0.2802,-0.2114,0.0357,0.0851
2019-02-09,76.5,4.75,5.0,0.2487,0.7019,0.0478,0.1012
2019-02-09,76.5,1.44,1.86,0.2685,-0.3113,0.0456,0.1024
2019-02-09,78.0,3.65,4.05,0.2411,0.6269,0.0538,0.1105
2019-02-09,78.0,1.92,2.13,0.2503,-0.3794,0.0528,0.1106
2019-02-09,79.5,2.83,3.1,0.2358,0.5432,0.0577,0.1157
2019-02-09,79.5,2.4,2.78,0.2402,-0.4614,0.0577,0.1157
2019-02-09,81.5,1.79,2.09,0.2248,0.4238,0.0597,0.1143
2019-02-09,81.5,3.55,3.85,0.2407,-0.5754,0.0573,0.1144
2019-02-09,83.0,1.33,1.53,0.2261,0.3405,0.0556,0.107
2019-02-09,83.0,4.45,4.8,0.2365,-0.66,0.0552,0.1077
2019-02-09,85.0,0.81,0.96,0.2236,0.2398,0.0476,0.0906
2019-02-09,85.0,5.85,6.4,0.2394,-0.7552,0.0479,0.0907
2019-02-09,86.0,0.62,0.91,0.2327,0.2079,0.0422,0.0836
2019-02-09,86.0,6.65,7.2,0.2394,-0.7979,0.0438,0.0833
2019-02-16,70.0,10.75,11.6,0.3024,0.9934,0.0038,0.0029
2019-02-16,70.0,0.0,0.06,0.3024,-0.0066,0.0038,0.0029
2019-02-16,73.0,7.55,8.25,0.3024,0.9618,0.0174,0.0132
2019-02-16,73.0,0.06,0.09,0.3024,-0.0382,0.0174,0.0132
2019-02-16,75.0,5.9,6.15,0.2523,0.9412,0.0294,0.0186
2019-02-16,75.0,0.1,0.16,0.2661,-0.0684,0.0314,0.0213
2019-02-16,77.5,3.45,3.95,0.2184,0.8493,0.0676,0.037
