Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-09,71.5,10.9,14.4,0.3242,0.9996,0.0004,0.0003
2019-02-09,71.5,0.0,0.15,0.3242,-0.0051,0.0028,0.0024
2019-02-09,76.0,8.0,9.8,0.3242,0.9747,0.0146,0.0086
2019-02-09,76.0,0.0,0.25,0.3242,-0.054,0.0206,0.018
2019-02-09,78.5,4.7,7.7,0.3752,0.8627,0.0425,0.0367
2019-02-09,78.5,0.25,0.4,0.309,-0.1255,0.0407,0.0339
2019-02-09,81.0,3.0,3.9,0.1886,0.9038,0.0721,0.0253
2019-02-09,81.0,0.55,0.8,0.2769,-0.2436,0.0693,0.0516
2019-02-09,82.5,2.45,2.7,0.2552,0.6816,0.0981,0.057
2019-02-09,82.5,0.95,1.2,0.2639,-0.3557,0.0866,0.0608
2019-02-09,85.0,1.0,1.25,0.2369,0.4184,0.1073,0.064
2019-02-09,85.0,2.0,2.35,0.2446,-0.5918,0.0979,0.0641
2019-02-09,86.0,0.65,0.85,0.2327,0.3151,0.0969,0.0578
2019-02-09,86.0,2.65,2.95,0.2395,-0.6883,0.0915,0.0574
2019-02-09,87.5,0.3,0.45,0.2283,0.1868,0.0728,0.0442
2019-02-09,87.5,3.7,4.1,0.2292,-0.8186,0.0723,0.0436
2019-02-09,90.0,0.0,0.15,0.245,0.0784,0.0364,0.024
2019-02-09,90.0,4.6,7.1,0.2507,-0.9226,0.0371,0.0247
2019-02-09,92.5,0.0,0.15,0.2881,0.0462,0.0205,0.0159
2019-02-09,92.5,6.5,10.8,0.2909,-0.9573,0.0203,0.0163
2019-02-09,95.0,0.0,0.15,0.3311,0.0309,0.0128,0.0115
2019-02-09,95.0,10.8,11.4,0.3311,-0.9734,0.0122,0.0112
2019-02-09,71.5,10.5,15.1,0.3128,0.9936,0.0043,0.004
2019-02-09,71.5,0.1,0.3,0.3237,-0.032,0.0095,0.0167
2019-02-09,76.0,6.5,10.4,0.2802,0.9411,0.0264,0.0262
2019-02-09,76.0,0.35,0.55,0.3203,-0.1183,0.0267,0.048
