Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-09,290.0,51.7,55.2,0.3925,0.9222,0.0035,0.1538
2019-02-09,290.0,2.05,3.3,0.4575,-0.108,0.0039,0.1956
2019-02-09,310.0,34.3,37.4,0.365,0.8232,0.0067,0.274
2019-02-09,310.0,3.9,5.3,0.3903,-0.191,0.0066,0.2976
2019-02-09,320.0,27.5,29.6,0.37,0.7387,0.0083,0.3434
2019-02-09,320.0,6.3,7.6,0.3805,-0.2668,0.0082,0.3463
2019-02-09,330.0,20.7,22.1,0.3533,0.649,0.0099,0.3915
2019-02-09,330.0,9.2,10.7,0.3669,-0.356,0.0097,0.3985
2019-02-09,340.0,14.7,16.2,0.3432,0.5437,0.0109,0.4187
2019-02-09,340.0,12.9,15.0,0.3546,-0.4585,0.0107,0.4189
2019-02-09,350.0,9.9,11.1,0.3313,0.4314,0.0112,0.415
2019-02-09,350.0,18.0,20.3,0.3464,-0.5671,0.0109,0.4142
2019-02-09,370.0,3.8,4.6,0.3178,0.2267,0.009,0.318
2019-02-09,370.0,30.8,34.8,0.3345,-0.7668,0.009,0.3303
2019-02-09,380.0,2.1,2.95,0.3159,0.1521,0.0071,0.2485
2019-02-09,380.0,39.2,43.0,0.3342,-0.8412,0.0073,0.253
2019-02-09,390.0,1.15,1.8,0.3156,0.0977,0.0052,0.1822
2019-02-09,390.0,48.3,52.0,0.3424,-0.892,0.0057,0.1981
2019-02-16,310.0,51.9,55.5,0.38,0.9391,0.0032,0.1208
2019-02-16,310.0,1.4,1.7,0.4179,-0.0782,0.0035,0.1465
2019-02-16,330.0,33.7,36.6,0.3303,0.8602,0.0067,0.2228
2019-02-16,330.0,3.0,4.0,0.3741,-0.167,0.0067,0.2611
2019-02-16,340.0,26.6,29.1,0.3509,0.7629,0.0088,0.3094
2019-02-16,340.0,4.7,5.8,0.3538,-0.2392,0.0088,0.3096
2019-02-16,350.0,19.4,21.4,0.3327,0.6682,0.0109,0.3636
2019-02-16,350.0,7.4,8.8,0.3436,-0.3369,0.0107,0.3668
2019-02-16,360.0,13.6,15.0,0.3235,0.5517,0.0122,0.3964
2019-02-16,360.0,11.0,12.7,0.3298,-0.4505,0.0121,0.3971
2019-02-16,370.0,8.3,9.9,0.3068,0.4245,0.0127,0.3925
2019-02-16,370.0,16.0,17.8,0.3193,-0.5743,0.0124,0.3925
2019-02-16,380.0,5.3,5.7,0.2989,0.3015,0.0116,0.3492
2019-02-16,380.0,22.2,24.3,0.3111,-0.6948,0.0115,0.3532
2019-02-16,390.0,2.85,4.3,0.3099,0.2114,0.0093,0.2899
2019-02-16,390.0,29.7,31.7,0.302,-0.8021,0.0096,0.2875
2019-02-16,400.0,1.5,1.9,0.2925,0.1216,0.0069,0.2024
2019-02-16,400.0,38.4,41.6,0.3343,-0.8511,0.0073,0.2386
2019-02-16,420.0,0.3,0.6,0.304,0.0446,0.0031,0.0943
2019-02-16,420.0,56.9,60.4,0.3394,-0.9459,0.0039,0.1148
2019-02-23,300.0,52.0,56.2,0.4567,0.9387,0.0031,0.1023
2019-02-23,300.0,0.6,1.0,0.4288,-0.0507,0.0029,0.0881
2019-02-23,320.0,33.8,36.6,0.378,0.8713,0.0066,0.1775
2019-02-23,320.0,1.55,2.45,0.3701,-0.1239,0.0066,0.1814
2019-02-23,330.0,25.2,28.6,0.3681,0.7915,0.0092,0.2424
2019-02-23,330.0,3.1,3.9,0.3542,-0.2006,0.0094,0.2427
2019-02-23,340.0,18.2,19.8,0.3407,0.693,0.0122,0.2968
2019-02-23,340.0,5.3,6.2,0.3345,-0.3051,0.0125,0.2967
2019-02-23,350.0,12.1,13.4,0.3317,0.56,0.0141,0.3332
2019-02-23,350.0,8.8,10.0,0.3236,-0.4408,0.0146,0.3346
2019-02-23,360.0,7.1,8.8,0.3248,0.4171,0.0142,0.3297
2019-02-23,360.0,13.9,15.2,0.3146,-0.5893,0.0148,0.3309
2019-02-23,370.0,3.9,5.0,0.3149,0.2805,0.0127,0.2846
2019-02-23,370.0,20.1,22.1,0.3041,-0.7317,0.0131,0.2804
2019-02-23,380.0,1.95,3.3,0.3242,0.1825,0.0097,0.2236
2019-02-23,380.0,28.1,30.3,0.3054,-0.8395,0.0099,0.2059
2019-02-23,390.0,1.0,1.65,0.3214,0.1053,0.0067,0.1539
2019-02-23,390.0,35.7,40.0,0.2823,-0.9347,0.0063,0.1135
2019-02-23,410.0,0.0,0.95,0.3143,0.0258,0.0023,0.0507
2019-02-23,410.0,55.1,59.6,0.2868,-0.9988,0.001,0.0053
2019-03-02,300.0,47.2,50.6,0.4553,0.9577,0.0029,0.0613
2019-03-02,300.0,0.5,0.6,0.4552,-0.0422,0.0029,0.0613
2019-03-02,310.0,37.4,41.2,0.424,0.9265,0.0048,0.0948
2019-03-02,310.0,0.6,1.8,0.424,-0.0735,0.0048,0.0948
2019-03-02,320.0,28.6,31.6,0.3928,0.874,0.0077,0.1408
2019-03-02,320.0,1.1,2.45,0.3928,-0.126,0.0077,0.1408
2019-03-02,330.0,20.1,21.6,0.3316,0.8076,0.0121,0.186
2019-03-02,330.0,2.45,3.0,0.3448,-0.2009,0.012,0.1972
2019-03-02,340.0,12.7,14.2,0.3213,0.6627,0.0167,0.2485
2019-03-02,340.0,4.6,5.5,0.3201,-0.3376,0.0169,0.251
2019-03-02,350.0,7.0,8.7,0.3172,0.4828,0.0185,0.2712
2019-03-02,350.0,8.4,9.6,0.2996,-0.5214,0.0198,0.272
2019-03-02,360.0,3.4,4.2,0.3026,0.3,0.0169,0.2366
2019-03-02,360.0,14.1,16.1,0.2881,-0.7137,0.0177,0.2375
2019-03-02,370.0,1.1,2.0,0.2928,0.1533,0.0119,0.1609
2019-03-02,370.0,20.7,24.1,0.2315,-0.9133,0.0112,0.1104
2019-03-02,380.0,0.35,0.7,0.2928,0.0683,0.0066,0.0897
2019-03-02,380.0,30.3,34.0,0.2315,-0.9843,0.0046,0.031
2019-03-02,400.0,0.1,0.2,0.2928,0.0086,0.0012,0.0158
2019-03-02,400.0,50.1,54.5,0.2315,-1.0,0.0,0.0
2019-03-09,270.0,42.0,46.0,0.4238,0.9957,0.0007,0.0054
2019-03-09,270.0,0.1,2.4,0.5457,-0.0198,0.002,0.0208
2019-03-09,280.0,32.5,36.5,0.4238,0.9777,0.0029,0.023
2019-03-09,280.0,0.5,0.7,0.5457,-0.0576,0.0049,0.05
2019-03-09,290.0,23.5,26.1,0.3851,0.9388,0.0072,0.0524
2019-03-09,290.0,0.9,1.25,0.4793,-0.1052,0.0088,0.0789
2019-03-09,300.0,15.3,17.2,0.402,0.808,0.0157,0.1184
2019-03-09,300.0,2.05,2.6,0.4369,-0.2101,0.0153,0.1268
2019-03-09,310.0,7.9,9.6,0.3688,0.6179,0.0239,0.1653
2019-03-09,310.0,4.5,5.1,0.3927,-0.3883,0.0226,0.1663
2019-03-09,320.0,3.5,4.3,0.3624,0.3705,0.024,0.1638
2019-03-09,320.0,9.2,9.9,0.362,-0.631,0.0242,0.1646
2019-03-09,330.0,1.2,1.55,0.3586,0.1694,0.0162,0.1095
2019-03-09,330.0,15.9,19.1,0.3991,-0.8058,0.0161,0.1235
2019-03-09,340.0,0.4,0.55,0.3744,0.0679,0.0081,0.0568
2019-03-09,340.0,25.1,28.9,0.4891,-0.8728,0.01,0.0924
2019-03-09,350.0,0.0,0.65,0.3744,0.02,0.003,0.021
2019-03-09,350.0,34.3,38.4,0.4891,-0.9438,0.0056,0.0528
2019-03-09,360.0,0.0,0.95,0.3744,0.0047,0.0008,0.0059
2019-03-09,360.0,44.0,48.5,0.4891,-0.9799,0.0027,0.0222
2019-03-16,280.0,50.7,55.4,0.4011,0.0,0.0,0.0
2019-03-16,280.0,0.0,0.05,0.4182,0.0,0.0,0.0
