Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-09,62.5,10.65,11.0,0.2751,0.9987,0.0011,0.0006
2019-02-09,62.5,0.0,0.03,0.2751,-0.0013,0.0011,0.0006
2019-02-09,66.0,7.2,7.5,0.2751,0.9773,0.0137,0.0077
2019-02-09,66.0,0.0,0.07,0.2751,-0.0227,0.0137,0.0077
2019-02-09,68.0,5.25,5.55,0.2572,0.9386,0.0329,0.0174
2019-02-09,68.0,0.07,0.13,0.2572,-0.0614,0.0329,0.0174
2019-02-09,70.5,3.0,3.2,0.1938,0.8604,0.0798,0.0319
2019-02-09,70.5,0.25,0.31,0.2168,-0.1658,0.0804,0.0366
2019-02-09,72.0,1.83,2.0,0.1891,0.7052,0.1271,0.0495
2019-02-09,72.0,0.47,0.61,0.1937,-0.3001,0.126,0.0507
2019-02-09,73.5,0.89,0.99,0.1724,0.4909,0.1611,0.0573
2019-02-09,73.5,1.02,1.16,0.1804,-0.5112,0.1561,0.0573
2019-02-09,75.0,0.31,0.38,0.1614,0.2527,0.1379,0.0459
2019-02-09,75.0,1.86,2.1,0.1669,-0.7472,0.1388,0.047
2019-02-09,76.5,0.07,0.12,0.157,0.0917,0.0731,0.0236
2019-02-09,76.5,3.15,3.4,0.1802,-0.8868,0.0825,0.0291
2019-02-09,78.5,0.0,0.03,0.157,0.015,0.0168,0.0054
2019-02-09,78.5,5.05,5.4,0.1802,-0.9884,0.0301,0.0056
2019-02-09,80.0,0.0,0.03,0.157,0.0027,0.0037,0.0012
2019-02-09,80.0,6.4,6.95,0.1802,-1.0,0.0,0.0
2019-02-09,63.0,8.55,11.55,0.2784,0.979,0.0089,0.0102
2019-02-09,63.0,0.0,0.41,0.2784,-0.021,0.0089,0.0102
2019-02-09,66.0,6.8,7.95,0.2639,0.9338,0.024,0.0261
2019-02-09,66.0,0.15,0.56,0.2639,-0.0661,0.024,0.0267
2019-02-09,68.0,5.4,5.85,0.2061,0.917,0.0365,0.031
2019-02-09,68.0,0.13,0.33,0.2061,-0.0829,0.0367,0.0331
2019-02-09,70.5,3.4,3.65,0.2053,0.7749,0.072,0.0609
2019-02-09,70.5,0.55,0.69,0.2148,-0.2356,0.0711,0.063
2019-02-09,72.0,2.28,2.5,0.1926,0.6578,0.0939,0.0746
2019-02-09,72.0,0.94,1.26,0.2159,-0.3583,0.0862,0.0765
2019-02-09,73.5,1.34,1.56,0.1806,0.5071,0.1088,0.081
2019-02-09,73.5,1.45,1.74,0.1937,-0.4962,0.1032,0.081
2019-02-09,75.0,0.73,0.88,0.176,0.3455,0.1031,0.0749
2019-02-09,75.0,2.32,2.58,0.1895,-0.6499,0.0995,0.0745
2019-02-09,76.5,0.32,0.44,0.1696,0.2016,0.0817,0.0571
2019-02-09,76.5,3.4,3.75,0.1936,-0.7767,0.0808,0.0622
2019-02-09,78.5,0.07,0.39,0.1706,0.0843,0.0446,0.0314
2019-02-09,78.5,4.65,5.85,0.1928,-0.9039,0.0523,0.0357
2019-02-09,80.0,0.0,0.12,0.1706,0.0378,0.0237,0.0167
2019-02-09,80.0,6.0,7.9,0.1928,-0.9633,0.0337,0.0177
2019-02-09,66.5,7.15,7.55,0.2217,0.9011,0.0292,0.0468
2019-02-09,66.5,0.38,0.7,0.2684,-0.1405,0.0312,0.0626
2019-02-09,68.0,5.9,6.2,0.2187,0.8476,0.0401,0.0633
2019-02-09,68.0,0.4,0.77,0.2338,-0.168,0.0403,0.0694
2019-02-09,70.5,3.8,4.2,0.2018,0.7313,0.0609,0.0886
2019-02-09,70.5,0.91,1.14,0.2123,-0.2797,0.0597,0.0923
2019-02-09,72.0,2.78,3.15,0.1963,0.6328,0.0715,0.1011
2019-02-09,72.0,1.36,1.79,0.2137,-0.379,0.0673,0.1018
2019-02-09,73.5,1.92,2.18,0.1874,0.5205,0.0792,0.107
2019-02-09,73.5,1.93,2.26,0.1977,-0.485,0.0769,0.1069
2019-02-09,75.0,1.25,1.47,0.1836,0.4015,0.0784,0.1039
2019-02-09,75.0,2.66,3.05,0.1888,-0.6044,0.079,0.1024
